2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,10,U,Pacific/Port_Moresby
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,10,U,Pacific/Port_Moresby
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,10,U,Pacific/Port_Moresby
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,10,U,Pacific/Port_Moresby
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,10,U,Pacific/Port_Moresby
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,-3,E,America/Godthab
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,-3,E,America/Godthab
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,-3,E,America/Godthab
10,Thule Air Base,Thule,Greenland,THU,BGTL,-4,E,America/Thule
11,Akureyri Airport,Akureyri,Iceland,AEY,BIAR,0,N,Atlantic/Reykjavik
12,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,0,N,Atlantic/Reykjavik
13,Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,0,N,Atlantic/Reykjavik
14,Húsavík Airport,Husavik,Iceland,HZK,BIHU,0,N,Atlantic/Reykjavik
15,Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,0,N,Atlantic/Reykjavik
16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,0,N,Atlantic/Reykjavik
17,Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,0,N,Atlantic/Reykjavik
18,Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,0,N,Atlantic/Reykjavik
19,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,0,N,Atlantic/Reykjavik
20,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,0,N,Atlantic/Reykjavik
21,Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,-5,A,America/Toronto
22,Winnipeg / St. Andrews Airport,Winnipeg,Canada,\N,CYAV,-6,A,America/Winnipeg
23,Halifax / CFB Shearwater Heliport,Halifax,Canada,\N,CYAW,-4,A,America/Halifax
24,St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,-3.5,A,America/St_Johns
25,Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,-8,A,America/Vancouver
26,Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,-7,A,America/Edmonton
27,Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,-5,A,America/Toronto
28,CFB Bagotville,Bagotville,Canada,YBG,CYBG,-5,A,America/Toronto
29,Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,-6,A,America/Winnipeg
30,Campbell River Airport,Campbell River,Canada,YBL,CYBL,-8,A,America/Vancouver
31,Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,-6,A,America/Winnipeg
32,Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,-7,A,America/Edmonton
33,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,-8,A,America/Vancouver
34,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,-8,A,America/Vancouver
35,Miramichi Airport,Chatham,Canada,YCH,CYCH,-4,A,America/Halifax
36,Charlo Airport,Charlo,Canada,YCL,CYCL,-4,A,America/Halifax
37,Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,-7,A,America/Edmonton
38,Coronation Airport,Coronation,Canada,YCT,CYCT,-7,A,America/Edmonton
39,Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,-8,A,America/Vancouver
40,Clyde River Airport,Clyde River,Canada,YCY,CYCY,-5,A,America/Toronto
41,Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,-5,A,America/Coral_Harbour
42,Dawson City Airport,Dawson,Canada,YDA,CYDA,-8,A,America/Vancouver
